'Ingeniero Jacobacci',"{absis:-69.58330855, ordinat:-41.30002562}",5719
'General Conesa',"{absis:-64.43328699, ordinat:-40.10004718}",2958
'Choele Choel',"{absis:-65.68331405, ordinat:-39.26660968}",9895
'San Francisco',"{absis:-62.08996749, ordinat:-31.43003375}",43231
'Alta Gracia',"{absis:-64.4299797, ordinat:-31.65999388}",30593
'Villa Maria',"{absis:-63.26002527, ordinat:-32.41002562}",76701
'Bell Ville',"{absis:-62.67995732, ordinat:-32.60003986}",29605
'Villa Rumipal',"{absis:-64.48328394, ordinat:-32.18332111}",1269
'Villa Carlos Paz',"{absis:-64.50000126, ordinat:-31.42000853}",60256
'Chumbicha',"{absis:-66.23330632, ordinat:-28.86662433}",2572
'Tinogasta',"{absis:-67.56658411, ordinat:-28.06662148}",587
'Abra Pampa',"{absis:-65.6999797, ordinat:-22.7166638}",4480
'Humahuaca',"{absis:-65.34994938, ordinat:-23.19999347}",11369
'Susques',"{absis:-66.4833169, ordinat:-23.41667275}",1093
'Chepes',"{absis:-66.5999506, ordinat:-31.34998696}",6020
'Yacuiba',"{absis:-63.69999841, ordinat:-22.03003904}",64811
'Tartagal',"{absis:-63.81001754, ordinat:-22.55000731}",59996
'Joaquin V. Gonzalez',"{absis:-64.18335392, ordinat:-25.08334105}",13376
'General Guemes',"{absis:-65.04996769, ordinat:-24.6666223}",19828
'Trancas',"{absis:-65.28331262, ordinat:-26.21665688}",1599
'Presidencia Roque Saenz Pena',"{absis:-60.45001591, ordinat:-26.7900069}",75958
'Pampa del Infierno',"{absis:-61.16658716, ordinat:-26.51658689}",2921
'Villa Angela',"{absis:-60.7166663, ordinat:-27.58329181}",30051
'Ingeniero Guillermo N. Juarez',"{absis:-61.84998214, ordinat:-23.90000242}",6453
'Comandante Fontana',"{absis:-59.68331852, ordinat:-25.33329995}",4277
'Doctor Pedro P. Pena',"{absis:-62.29998051, ordinat:-22.47998574}",6143
'San Lorenzo',"{absis:-58.76998926, ordinat:-28.12000324}",25833
'Corrientes',"{absis:-58.80998682, ordinat:-27.48996417}",339945
'Concepcion del Uruguay',"{absis:-58.23999577, ordinat:-32.47999551}",48275
'Victoria',"{absis:-60.17998071, ordinat:-32.61001341}",20032
'Gualeguay',"{absis:-59.34000615, ordinat:-33.15003213}",25913
'Parana',"{absis:-60.53334416, ordinat:-31.73332273}",226852
'Villa Constitucion',"{absis:-60.35002202, ordinat:-33.23002724}",30282
'Rafaela',"{absis:-61.49997766, ordinat:-31.25004474}",69649
'Eldorado',"{absis:-54.59998539, ordinat:-26.20001707}",17365
'Rodeo',"{absis:-69.1399506, ordinat:-30.21558592}",701
'Las Plumas',"{absis:-67.24998845, ordinat:-43.41627887}",605
'Gastre',"{absis:-69.23330408, ordinat:-42.28296303}",557
'Telsen',"{absis:-66.95000676, ordinat:-42.39959674}",493
'Malargue',"{absis:-69.58330855, ordinat:-35.46611815}",11847
'Tunuyan',"{absis:-69.01667647, ordinat:-33.56618244}",22834
'La Paz',"{absis:-67.54999597, ordinat:-33.46613686}",4400
'Chos Malal',"{absis:-70.26657434, ordinat:-37.38295205}",8556
'Las Lajas',"{absis:-70.36659408, ordinat:-38.51626788}",1218
'Zarate',"{absis:-59.04002446, ordinat:-34.08956134}",86192
'Carhue',"{absis:-62.73331323, ordinat:-37.1828609}",7190
'Darregueira',"{absis:-63.16659428, ordinat:-37.69957355}",3412
'Juarez',"{absis:-59.80002975, ordinat:-37.66551878}",10609
'Mar de Ajo',"{absis:-56.67660283, ordinat:-36.71622272}",13610
'Lobos',"{absis:-59.09467228, ordinat:-35.184895}",18278
'Chascomus',"{absis:-58.01662439, ordinat:-35.56621539}",21054
'Junin',"{absis:-60.95887374, ordinat:-34.58456989}",66141
'La Plata',"{absis:-57.95996118, ordinat:-34.90961465}",440388
'Pergamino',"{absis:-60.56998275, ordinat:-33.89959878}",71448
'Lujan',"{absis:-59.10999435, ordinat:-34.57960895}",69744
'Azul',"{absis:-59.86999964, ordinat:-36.7796297}",43407
'Villalonga',"{absis:-62.58332239, ordinat:-39.88285114}",2838
'Victorica',"{absis:-65.45002079, ordinat:-36.21625324}",4458
'General Pico',"{absis:-63.77001998, ordinat:-35.65959471}",46483
'San Antonio Oeste',"{absis:-64.93328231, ordinat:-40.73287677}",8492
'Sierra Colorado',"{absis:-67.79998071, ordinat:-40.58286009}",1522
'Mercedes',"{absis:-65.4699679, ordinat:-33.68958576}",49345
'Rio Tercero',"{absis:-64.12002446, ordinat:-32.1796004}",38049
'Belen',"{absis:-67.03328333, ordinat:-27.64959267}",11359
'Rinconada',"{absis:-66.16659204, ordinat:-22.43290851}",6209
